"","uniqueID","blur","sigma","image_id"
"391","swing",7,14.8014957034886,153
"392","swing",8,16.970871066769,153
"393","headlamp",1,4,154
"394","headlamp",2,4.8760546168179,154
"395","headlamp",3,5.94397715654779,154
"396","headlamp",4,7.24578931411125,154
"397","headlamp",5,8.8327161093905,154
"398","headlamp",6,10.7672015410588,154
"399","headlamp",7,13.1253656961222,154
"400","headlamp",8,16,154
"401","remote_control",1,6.379,155
"402","remote_control",2,8.12016150275621,155
"403","remote_control",3,10.3365767096479,155
"404","remote_control",4,13.1579671214876,155
"405","remote_control",5,16.749461996306,155
"406","remote_control",6,21.3212629713563,155
"407","remote_control",7,27.1409466640773,155
"408","remote_control",8,34.5491252939332,155
"409","pacifier",1,4,157
"410","pacifier",2,4.8760546168179,157
"411","pacifier",3,5.94397715654779,157
"412","pacifier",4,7.24578931411125,157
"413","pacifier",5,8.8327161093905,157
"414","pacifier",6,10.7672015410588,157
"415","pacifier",7,13.1253656961222,157
"416","pacifier",8,16,157
"417","lego",1,4,158
"418","lego",2,4.8760546168179,158
"419","lego",3,5.94397715654779,158
"420","lego",4,7.24578931411125,158
"421","lego",5,8.8327161093905,158
"422","lego",6,10.7672015410588,158
"423","lego",7,13.1253656961222,158
"424","lego",8,16,158
"425","triangle",1,5.3025,159
"426","triangle",2,6.22628453081002,159
"427","triangle",3,7.31100783754912,159
"428","triangle",4,8.58470815720187,159
"429","triangle",5,10.0803084584073,159
"430","triangle",6,11.8364674437293,159
"431","triangle",7,13.8985788108116,159
"432","triangle",8,16.319944601603,159
"433","braid",1,7.1085,160
"434","braid",2,8.22224460424039,160
"435","braid",3,9.51048833536754,160
"436","braid",4,11.0005713440482,160
"437","braid",5,12.7241173773879,160
"438","braid",6,14.7177049236758,160
"439","braid",7,17.0236435106556,160
"440","braid",8,19.6908716325526,160
"441","paddle",1,4.316,162
"442","paddle",2,5.20549826317947,162
"443","paddle",3,6.27831607228094,162
"444","paddle",4,7.57223433965482,162
"445","paddle",5,9.13282036688163,162
"446","paddle",6,11.0150325666665,162
"447","paddle",7,13.2851559070083,162
"448","paddle",8,16.0231362372567,162
"449","trunk",1,4,163
"450","trunk",2,4.8760546168179,163
"451","trunk",3,5.94397715654779,163
"452","trunk",4,7.24578931411125,163
"453","trunk",5,8.8327161093905,163
"454","trunk",6,10.7672015410588,163
"455","trunk",7,13.1253656961222,163
"456","trunk",8,16,163
"457","canvas",1,4,164
"458","canvas",2,4.8760546168179,164
"459","canvas",3,5.94397715654779,164
"460","canvas",4,7.24578931411125,164
"461","canvas",5,8.8327161093905,164
"462","canvas",6,10.7672015410588,164
"463","canvas",7,13.1253656961222,164
"464","canvas",8,16,164
"465","printer",1,4.9095,165
"466","printer",2,6.2651978927526,165
"467","printer",3,7.99525504335506,165
"468","printer",4,10.2030461451569,165
"469","printer",5,13.0204915385059,165
"470","printer",6,16.6159397392097,165
"471","printer",7,21.204226630044,165
"472","printer",8,27.0595123739688,165
"473","stopwatch",1,4,166
"474","stopwatch",2,4.8760546168179,166
"475","stopwatch",3,5.94397715654779,166
"476","stopwatch",4,7.24578931411125,166
"477","stopwatch",5,8.8327161093905,166
"478","stopwatch",6,10.7672015410588,166
"479","stopwatch",7,13.1253656961222,166
"480","stopwatch",8,16,166
"481","comb",1,4.329,167
"482","comb",2,5.21902158849533,167
"483","comb",3,6.29202733683999,167
"484","comb",4,7.58563790860953,167
"485","comb",5,9.14520859495073,167
"486","comb",6,11.0254195168263,167
"487","comb",7,13.2921927651961,167
"488","comb",8,16.0250036960037,167
"489","compass",1,4.5895,168
"490","compass",2,5.71090208356611,168
"491","compass",3,7.10630844494602,168
"492","compass",4,8.8426695075075,168
"493","compass",5,11.0032944143613,168
"494","compass",6,13.6918481309657,168
"495","compass",7,17.0373252029639,168
"496","compass",8,21.2002388059702,168
"497","patch",1,4,169
"498","patch",2,4.8760546168179,169
"499","patch",3,5.94397715654779,169
"500","patch",4,7.24578931411125,169
"501","patch",5,8.8327161093905,169
"502","patch",6,10.7672015410588,169
"503","patch",7,13.1253656961222,169
"504","patch",8,16,169
"505","microscope",1,5.639,170
"506","microscope",2,6.57241410585035,170
"507","microscope",3,7.66033466550464,170
"508","microscope",4,8.92833687020698,170
"509","microscope",5,10.4062293292307,170
"510","microscope",6,12.1287548203848,170
"511","microscope",7,14.1364070345624,170
"512","microscope",8,16.4763825146302,170
"513","dresser",1,8.0045,171
"514","dresser",2,8.98716556252014,171
"515","dresser",3,10.0904672182082,171
"516","dresser",4,11.3292147533537,171
"517","dresser",5,12.7200360649304,171
"518","dresser",6,14.2816003593924,171
"519","dresser",7,16.0348687522777,171
"520","dresser",8,18.0033756324568,171
"521","combination_lock",1,10.4575,172
"522","combination_lock",2,12.4759645900184,172
"523","combination_lock",3,14.8840250969536,172
"524","combination_lock",4,17.7568797577374,172
"525","combination_lock",5,21.184241270547,172
"526","combination_lock",6,25.2731383177385,172
"527","combination_lock",7,30.1512578274676,172
"528","combination_lock",8,35.9709323452068,172
"529","ramp",1,4,173
"530","ramp",2,4.94576397627231,173
"531","ramp",3,6.11514532724822,173
"532","ramp",4,7.56101636729355,173
"533","ramp",5,9.34875059334145,173
"534","ramp",6,11.5591784769256,173
"535","ramp",7,14.2922421266203,173
"536","ramp",8,17.6715140625,173
"537","paperweight",1,4.329,174
"538","paperweight",2,5.47744117713889,174
"539","paperweight",3,6.93055251767537,174
"540","paperweight",4,8.76916002324755,174
"541","paperweight",5,11.0955320397913,174
"542","paperweight",6,14.0390677008585,174
"543","paperweight",7,17.7634944590721,174
"544","paperweight",8,22.475975051975,174
"545","baklava",1,5.639,175
"546","baklava",2,6.57241410585035,175
"547","baklava",3,7.66033466550464,175
"548","baklava",4,8.92833687020698,175
"549","baklava",5,10.4062293292307,175
"550","baklava",6,12.1287548203848,175
"551","baklava",7,14.1364070345624,175
"552","baklava",8,16.4763825146302,175
"553","scaffold",1,4,176
"554","scaffold",2,4.87683811107331,176
"555","scaffold",3,5.94588749040428,176
"556","scaffold",4,7.24928267933942,176
"557","scaffold",5,8.83839451213654,176
"558","scaffold",6,10.7758547993722,176
"559","scaffold",7,13.1380248412426,176
"560","scaffold",8,16.0180050625,176
"561","dirt_bike",1,6.515,177
"562","dirt_bike",2,7.46986839809308,177
"563","dirt_bike",3,8.56468670526932,177
"564","dirt_bike",4,9.81996662459849,177
"565","dirt_bike",5,11.2592261487977,177
"566","dirt_bike",6,12.9094301758844,177
"567","dirt_bike",7,14.8014957034886,177
"568","dirt_bike",8,16.970871066769,177
"569","chime",1,4.419,178
"570","chime",2,5.31258462401799,178
"571","chime",3,6.386864762922,178
"572","chime",4,7.67837961873312,178
"573","chime",5,9.23105713959146,178
"574","chime",6,11.0977081292657,178
"575","chime",7,13.3418224868469,178
"576","chime",8,16.0397286716452,178
"577","loom",1,4,180
"578","loom",2,4.8760546168179,180
"579","loom",3,5.94397715654779,180
"580","loom",4,7.24578931411125,180
"581","loom",5,8.8327161093905,180
"582","loom",6,10.7672015410588,180
"583","loom",7,13.1253656961222,180
"584","loom",8,16,180
"585","slingshot",1,4,181
"586","slingshot",2,4.94576397627231,181
"587","slingshot",3,6.11514532724822,181
"588","slingshot",4,7.56101636729355,181
"589","slingshot",5,9.34875059334145,181
"590","slingshot",6,11.5591784769256,181
"591","slingshot",7,14.2922421266203,181
"592","slingshot",8,17.6715140625,181
"593","wick",1,4,185
"594","wick",2,4.8760546168179,185
"595","wick",3,5.94397715654779,185
"596","wick",4,7.24578931411125,185
"597","wick",5,8.8327161093905,185
"598","wick",6,10.7672015410588,185
"599","wick",7,13.1253656961222,185
"600","wick",8,16,185
"601","pet_food",1,4,186
"602","pet_food",2,4.8760546168179,186
"603","pet_food",3,5.94397715654779,186
"604","pet_food",4,7.24578931411125,186
"605","pet_food",5,8.8327161093905,186
"606","pet_food",6,10.7672015410588,186
"607","pet_food",7,13.1253656961222,186
"608","pet_food",8,16,186
"609","stethoscope",1,5.7855,187
